ZIP Code,Average Elevation
46379,194.72641
47836,168.57452
47925,203.66855
46959,239.03862
46393,207.1952
40858,464.3998
40806,580.8059
40744,353.7977
41773,437.06912
41632,370.4309
40831,602.4881
41843,466.46707
41260,244.82507
42742,243.29716
40355,258.42944
42440,138.29059
42285,186.54337
41526,222.07602
41517,455.2551
40219,148.79695
42274,182.07109
40216,138.69667
40258,137.37624
41144,227.3897
40356,274.97787
42027,125.44003
40175,224.86366
40217,147.69547
40218,153.4754
40010,235.865
41030,257.232
41094,257.0683
41059,192.31592
41018,258.90668
40508,296.14636
40505,301.67072
42724,221.04736
42025,131.4118
42083,114.52894
41007,221.27924
42740,207.47795
42776,218.5429
42349,167.05962
40437,325.36963
42368,167.37766
41035,244.72897
42085,130.60141
40507,293.90756
42076,131.28476
40121,206.7988
40242,188.9653
42461,112.928566
42712,215.13664
41666,350.63202
42320,140.73642
41636,368.1818
41501,342.3902
41216,273.00903
42553,315.62674
41555,439.241
42256,167.73813
41472,296.34705
40983,319.33417
41514,325.71854
41544,347.8365
41219,285.1698
42055,125.1796
42141,224.85255
42123,213.7806
42642,296.57428
42130,245.68037
42217,172.77481
42215,173.45576
42232,156.26598
41602,224.92923
41537,522.5502
47568,144.06906
47553,162.07803
47462,219.90991
46392,205.62122
46310,202.49242
46205,223.3583
46234,253.04034
46032,263.7686
46103,250.29457
47513,193.37411
47541,149.93294
47532,161.66266
46360,198.48569
46342,194.91843
46554,223.36212
46733,248.54965
47846,179.3294
47840,184.54626
46319,191.19998
46410,202.41469
47872,205.16638
47612,133.25893
46947,214.73018
47118,202.43452
47455,223.6631
47125,229.59314
46795,291.31354
47037,288.53418
46304,196.82559
47386,318.1665
47360,337.99777
47272,258.2711
46173,303.0469
46991,260.1672
46562,274.58047
47003,305.39136
47043,229.88695
47017,267.1145
47858,172.56166
47446,201.96404
46176,239.15492
46124,215.54861
46166,217.00008
46259,245.6795
47223,247.30833
47960,205.55663
47373,295.23654
46160,235.72775
46162,223.3506
47467,167.2604
46996,213.7964
47920,190.75432
47923,213.65366
47596,141.80089
47524,125.30792
47232,198.67973
47231,244.09247
47126,185.01671
46346,217.93784
46303,217.70967
47969,215.31187
46060,247.31165
46037,251.28635
47122,237.60437
47119,260.1597
47141,202.87498
47143,158.82594
47665,133.53265
47163,190.46344
46341,207.79535
47522,208.72641
40351,302.81958
41240,260.44565
40813,445.99402
41849,456.38678
42344,140.53806
40380,297.06845
41238,302.75348
42140,241.36574
40914,398.88513
42031,112.87969
40844,454.44043
42782,211.4009
40923,358.4254
41759,418.79422
41622,298.50134
41607,281.39734
40051,190.66129
42339,151.56479
41234,269.86493
41669,438.70404
42153,223.24774
41848,407.5392
40874,496.5707
41831,429.05988
41567,385.8318
41775,435.9552
42372,123.760315
40157,191.31853
42753,250.82843
41719,366.09183
40737,356.5847
40863,642.53296
47551,188.272
47358,347.31775
47550,136.59561
47634,118.508095
47393,346.15784
47302,299.37897
46507,240.77655
47201,203.42337
46001,268.6785
47327,305.07773
47345,320.9284
47711,120.71726
47339,338.92172
46063,265.1558
47832,193.51738
46011,263.13452
46902,256.5699
46807,236.97662
46806,241.71268
47396,278.51297
46545,227.43517
47992,204.54585
46517,240.59923
46013,272.01187
46221,214.37921
46241,229.87935
46239,254.40779
47342,271.38275
47161,225.9101
46928,266.7908
46537,260.88028
46409,188.90224
46789,284.5901
46965,262.41193
46703,307.53012
46104,278.74167
46943,228.5936
46984,246.3252
47574,159.41254
46998,227.96709
47160,207.73273
47876,176.49036
46937,262.27292
47324,344.2371
46624,219.94331
46374,208.88017
47501,142.72667
47868,218.56522
47512,150.3926
47978,206.91508
46226,253.60799
47942,228.132
47921,225.13329
47922,201.40935
46268,258.04166
46228,232.54834
46208,222.11415
46381,194.90459
