Tract ID,Average Elevation
01003010709,38.12967
01003011504,14.000748
01003010710,14.874052
01003011104,27.348866
01003010711,32.94318
01003010707,1.9641771
01003011413,6.664846
01003011412,3.2080307
01003011503,18.428768
01003010908,38.064976
01003010907,28.711216
01003011103,28.246033
01003011410,8.642302
01003011411,7.2687373
01003011418,1.8322877
01003011604,8.982794
01003011415,0.50979626
01051030102,80.2109
01051030103,103.3915
01051030101,116.46293
01051030802,59.025238
01051030401,94.31332
01051030801,54.09237
01055010700,177.20941
01055001300,160.79779
01055000900,161.63528
01055001700,167.45403
01055010300,210.24715
01055000600,166.88249
01101005903,81.910095
01055010100,208.92694
01055000300,207.3189
01055000700,164.94731
01055001600,164.91202
01055000400,238.55695
01101003304,82.942055
01101003303,74.37966
01101005414,51.66128
01101005413,57.773476
01101005613,65.81466
01101002901,68.83515
01055000800,167.05309
01055001100,174.15274
01055010900,227.4455
01051031001,81.85695
01051030402,131.90207
01051031002,112.77171
01113030402,118.168495
01107050000,112.58982
01107050300,81.63089
01107050100,96.89025
01107050200,98.46929
01127020100,128.37321
01127021500,123.38406
01127021200,144.80173
01127021700,124.77732
01127021600,126.993835
01127021900,139.4039
01083020403,206.04506
01083020103,266.2973
01083020404,188.59119
01083021101,178.96703
01083021203,176.87962
01083021202,191.18408
01083020803,214.0466
01083020804,214.01125
01083020806,225.04158
01083021102,204.4665
01083020805,229.83162
01083021201,206.88303
01083020104,257.80087
01045020802,89.32851
01045020000,87.29657
01077011102,178.96123
01127021400,128.30421
01127020600,121.162384
01127021800,129.4408
01127021000,173.07204
01127020700,134.69737
01127020900,171.4742
01127021100,180.19293
01127021300,136.26239
01127020400,109.68088
01127020200,140.65993
01067030600,78.10121
01067030500,97.56304
01067030300,95.78298
01067030100,116.10497
01067030200,116.15725
01067030400,102.436874
01003011419,1.6339712
01003010706,35.165165
01003011603,6.254941
01003010708,42.29849
01003011409,19.634289
01003011417,2.9578645
01003011414,1.262775
01003011416,1.0309292
01017954001,224.52943
01017954002,229.71066
01017954800,187.87828
01015002504,175.7253
01015001502,204.52675
01015002503,182.86517
01015002105,277.38513
01015001103,188.14839
01015001102,190.00098
01015002001,258.04285
01015002002,267.72443
01015001501,241.11545
01015001802,210.57988
01015001801,263.02527
01015001101,215.96442
01097006503,46.507347
01097980000,51.30108
01097006903,46.561707
01097006904,38.840714
01097006303,52.051174
01097006307,61.785103
01097006409,57.83613
01097003711,26.36413
01097006804,39.169205
01097006410,33.133827
01097003409,48.246906
01097006411,52.5506
01097006803,41.90285
01097000801,7.808418
01097000802,9.55087
01097006408,53.19125
01097003207,12.810853
01097003206,13.704155
01089011028,203.97888
01089011201,175.12738
01089010801,222.10706
01089011301,193.58705
01089010304,239.58041
01089010626,232.3596
01089010406,254.73395
01089011025,220.7569
01119011301,55.388393
01119011302,45.4378
01125011902,59.014282
01125011402,58.267197
01077010300,151.95084
01077010700,157.26451
01101005614,69.36451
01077011000,167.59322
01101002902,64.13537
01101005412,76.33783
01101005904,65.329445
01101005411,72.59025
01077011801,225.28944
01073005103,188.49872
01073004902,221.22256
01073014409,169.59941
01073012905,261.98065
01073005909,214.98958
01073012304,201.6467
01001020501,87.033226
01001020902,152.10994
01001020803,118.27983
01001020804,141.80782
01001020805,147.99442
01001020901,146.82059
